,state,Job_Creation_Mean,Job_Destruction_Mean,Net_Job_Mean
0,Alabama,15.720146341463415,14.091756097560976,1.6283902439024391
1,Alaska,19.478048780487807,17.04039024390244,2.437658536585367
2,Arkansas,19.52965853658537,15.822097560975607,3.7075609756097627
3,California,15.329512195121952,13.489536585365855,1.839975609756097
4,Colorado,17.822536585365853,15.634341463414632,2.188195121951221
5,Delaware,18.321024390243903,15.466341463414631,2.8546829268292715
6,District of Columbia,14.08468292682927,13.197487804878048,0.8871951219512226
7,Florida,15.882243902439022,13.947219512195122,1.9350243902438997
8,Georgia,15.171414634146341,13.423219512195121,1.7481951219512197
9,Hawaii,19.18321951219512,16.037195121951218,3.146024390243902
10,Idaho,17.157853658536585,14.663853658536585,2.4939999999999998
11,Indiana,15.393560975609757,13.426146341463415,1.9674146341463423
12,Iowa,17.35041463414634,14.814414634146344,2.535999999999996
13,Kansas,14.59892682926829,13.590390243902439,1.0085365853658512
14,Kentucky,14.334512195121953,12.994536585365855,1.339975609756097
15,Louisiana,13.589682926829266,12.197536585365855,1.3921463414634108
16,Maine,15.036585365853655,13.365902439024392,1.6706829268292633
17,Maryland,15.113804878048779,13.447999999999999,1.66580487804878
18,Massachusetts,16.628414634146345,15.189536585365852,1.4388780487804933
19,Michigan,14.327512195121951,12.900365853658538,1.4271463414634127
20,Minnesota,15.934121951219515,13.97819512195122,1.9559268292682948
21,Mississippi,14.579731707317073,13.09339024390244,1.4863414634146324
22,Missouri,14.7920243902439,13.728682926829268,1.0633414634146323
23,Montana,14.837731707317072,12.702414634146344,2.1353170731707287
24,Nebraska,15.130097560975608,13.712121951219512,1.4179756097560965
25,Nevada,14.902756097560975,13.356731707317072,1.5460243902439021
26,New Hampshire,16.524658536585363,14.517585365853655,2.007073170731708
27,New Jersey,14.269658536585366,12.512951219512194,1.7567073170731717
28,New Mexico,19.29419512195122,15.22931707317073,4.064878048780489
29,New York,15.328756097560975,13.083341463414635,2.2454146341463392
30,North Carolina,15.742195121951218,14.401024390243906,1.3411707317073116
31,North Dakota,17.637121951219513,15.573560975609759,2.0635609756097537
32,Ohio,14.931829268292685,13.680146341463415,1.25168292682927
33,Oklahoma,15.179853658536587,13.140951219512194,2.038902439024392
34,Oregon,14.937853658536582,12.681268292682928,2.2565853658536543
35,Pennsylvania,14.125121951219516,13.185317073170731,0.9398048780487844
36,Rhode Island,16.66507317073171,14.969195121951222,1.6958780487804876
37,South Carolina,16.589219512195122,14.328682926829268,2.2605365853658537
38,South Dakota,13.915439024390244,12.808536585365855,1.1069024390243882
39,Texas,14.07231707317073,13.192414634146342,0.8799024390243879
40,Utah,15.51631707317073,13.595341463414634,1.9209756097560966
41,Vermont,14.621731707317073,12.34070731707317,2.2810243902439034
42,Virginia,15.74039024390244,13.841756097560975,1.8986341463414647
43,Washington,18.41887804878049,15.766682926829265,2.652195121951223
44,West Virginia,18.290146341463412,14.870707317073173,3.4194390243902397
45,Wisconsin,14.07748780487805,12.543024390243902,1.534463414634148
46,Wyoming,15.942317073170729,13.692756097560974,2.2495609756097554
